[2022-05-09T08:31:52.194] [INFO] infoFile - { route: '/home', method: '[GET]' }
[2022-05-09T08:31:55.560] [INFO] infoFile - { route: '/', method: '[GET]' }
[2022-05-09T08:32:34.935] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-05-09T08:32:36.583] [INFO] infoFile - { route: '/home', method: '[GET]' }
[2022-05-09T08:34:41.353] [INFO] infoFile - { route: '/home', method: '[GET]' }
[2022-05-09T11:37:38.307] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.350] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.405] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.491] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.534] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.578] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.590] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.608] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.631] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.697] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.880] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.905] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.921] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.958] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:39.983] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.007] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.024] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.040] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.058] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.071] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.115] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.126] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.138] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.146] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.157] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.167] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.193] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.204] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.214] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.225] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.235] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.245] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.256] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.273] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.283] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.293] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.303] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.313] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.324] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.346] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.356] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.366] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.375] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.386] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.405] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.415] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.431] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.445] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.459] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.482] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.495] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.508] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.538] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.546] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.556] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.564] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.575] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.586] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.595] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.619] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.628] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.636] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.646] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.656] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.665] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.676] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.685] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.694] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.703] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.714] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.725] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.741] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.750] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.762] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.773] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.783] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.792] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:40.800] [INFO] infoFile - { route: '/info', method: '[GET]' }
